니케 스텟 (SSR등급 한정),,,,,,,,,,,,,,,,,,,,,,,,,,호감도,"요구
포인트",화력형,,,방어형,,,지원형,,,,하모니 큐브,,,,,,,,,,,,분류,"공격력
증가량","방어력
증가량","HP
증가량"
406,2170900,96484,14473,12154,12463,13895,14119,12107,2653322,64322,17689,14855,15232,16982,17256,14798,2412111,80403,16081,13505,13848,15438,15687,13452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,2178325,96814,14522,12196,12505,13942,14167,12149,2662397,64542,17750,14906,15284,17040,17315,14848,2420361,80678,16136,13551,13895,15491,15741,13498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,2185750,97144,14572,12237,12548,13990,14215,12190,2671472,64762,17810,14957,15336,17098,17374,14899,2428611,80953,16191,13597,13942,15544,15795,13544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,2193175,97474,14621,12279,12591,14037,14264,12231,2680547,64982,17871,15008,15389,17156,17433,14949,2436861,81228,16246,13643,13990,15597,15848,13590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,2200600,97804,14671,12321,12633,14085,14312,12273,2689622,65202,17931,15059,15441,17215,17492,15000,2445111,81503,16301,13690,14037,15650,15902,13636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,2208025,98134,14720,12362,12676,14132,14360,12314,2698697,65422,17992,15109,15493,17273,17551,15051,2453361,81778,16356,13736,14084,15702,15956,13682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,2215450,98464,14770,12404,12719,14180,14408,12356,2707772,65642,18052,15160,15545,17331,17610,15101,2461611,82053,16411,13782,14132,15755,16009,13728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,2222875,98794,14819,12445,12761,14227,14457,12397,2716847,65862,18113,15211,15597,17389,17669,15152,2469861,82328,16466,13828,14179,15808,16063,13774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,2230300,99124,14869,12487,12804,14275,14505,12438,2725922,66082,18173,15262,15649,17447,17728,15203,2478111,82603,16521,13874,14226,15861,16117,13820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,2237725,99454,14918,12528,12846,14322,14553,12480,2734997,66302,18234,15313,15701,17505,17787,15253,2486361,82878,16576,13921,14274,15914,16170,13867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,2245150,99784,14968,12570,12889,14370,14602,12521,2744072,66522,18294,15363,15753,17563,17846,15304,2494611,83153,16631,13967,14321,15966,16224,13913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,2252575,100114,15017,12612,12932,14417,14650,12563,2753147,66742,18355,15414,15805,17621,17905,15354,2502861,83428,16686,14013,14369,16019,16278,13959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,2260000,100444,15067,12653,12974,14465,14698,12604,2762222,66962,18415,15465,15857,17679,17964,15405,2511111,83703,16741,14059,14416,16072,16331,14005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,2267425,100774,15116,12695,13017,14512,14746,12645,2771297,67182,18476,15516,15910,17737,18023,15456,2519361,83978,16796,14105,14463,16125,16385,14051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,2274850,101104,15166,12736,13060,14560,14795,12687,2780372,67402,18536,15567,15962,17795,18082,15506,2527611,84253,16851,14151,14511,16178,16439,14097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,2388593,106159,15925,13373,13713,15288,15535,13322,2919391,70773,19463,16345,16760,18686,18987,16282,2653992,88466,17694,14859,15237,16987,17261,14802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,2396018,106489,15974,13415,13755,15336,15583,13363,2928466,70993,19524,16396,16812,18744,19046,16333,2662242,88741,17749,14906,15284,17040,17315,14848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,2403443,106819,16024,13457,13798,15383,15631,13404,2937541,71213,19584,16447,16864,18802,19105,16383,2670492,89016,17804,14952,15331,17093,17368,14894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,2410868,107149,16073,13498,13841,15431,15680,13446,2946616,71433,19645,16498,16916,18860,19164,16434,2678742,89291,17859,14998,15379,17145,17422,14940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,2418293,107479,16123,13540,13883,15478,15728,13487,2955691,71653,19705,16549,16969,18918,19223,16484,2686992,89566,17914,15044,15426,17198,17476,14986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,2425718,107809,16172,13581,13926,15526,15776,13529,2964766,71873,19766,16599,17021,18976,19282,16535,2695242,89841,17969,15090,15473,17251,17529,15032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,2433143,108139,16222,13623,13969,15573,15825,13570,2973841,72093,19826,16650,17073,19034,19341,16586,2703492,90116,18024,15137,15521,17304,17583,15078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,2440568,108469,16271,13664,14011,15621,15873,13611,2982916,72313,19887,16701,17125,19092,19400,16636,2711742,90391,18079,15183,15568,17357,17637,15124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,2447993,108799,16321,13706,14054,15668,15921,13653,2991991,72533,19947,16752,17177,19150,19459,16687,2719992,90666,18134,15229,15615,17409,17690,15170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,2455418,109129,16370,13748,14096,15716,15969,13694,3001066,72753,20008,16803,17229,19208,19518,16737,2728242,90941,18189,15275,15663,17462,17744,15216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,2462843,109459,16420,13789,14139,15763,16018,13736,3010141,72973,20068,16853,17281,19266,19577,16788,2736492,91216,18244,15321,15710,17515,17797,15262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,2470268,109789,16469,13831,14182,15811,16066,13777,3019216,73193,20129,16904,17333,19325,19636,16839,2744742,91491,18299,15367,15757,17568,17851,15308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,2477693,110119,16519,13872,14224,15859,16114,13818,3028291,73413,20189,16955,17385,19383,19695,16889,2752992,91766,18354,15414,15805,17621,17905,15354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,2485118,110449,16568,13914,14267,15906,16163,13860,3037366,73633,20250,17006,17437,19441,19754,16940,2761242,92041,18409,15460,15852,17673,17958,15400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,2492543,110779,16618,13955,14310,15954,16211,13901,3046441,73853,20310,17057,17490,19499,19813,16990,2769492,92316,18464,15506,15900,17726,18012,15446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,2499968,111109,16667,13997,14352,16001,16259,13943,3055516,74073,20371,17107,17542,19557,19872,17041,2777742,92591,18519,15552,15947,17779,18066,15492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,2507393,111439,16717,14039,14395,16049,16307,13984,3064591,74293,20431,17158,17594,19615,19931,17092,2785992,92866,18574,15598,15994,17832,18119,15538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,2514818,111769,16766,14080,14437,16096,16356,14026,3073666,74513,20492,17209,17646,19673,19990,17142,2794242,93141,18629,15645,16042,17885,18173,15584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,2522243,112099,16816,14122,14480,16144,16404,14067,3082741,74733,20552,17260,17698,19731,20049,17193,2802492,93416,18684,15691,16089,17937,18227,15630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,2529668,112429,16865,14163,14523,16191,16452,14108,3091816,74953,20613,17311,17750,19789,20108,17244,2810742,93691,18739,15737,16136,17990,18280,15676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,2656151,118051,17708,14872,15249,17001,17275,14814,3246407,78701,21644,18176,18638,20779,21114,18106,2951279,98376,19676,16524,16943,18890,19194,16460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,2664251,118411,17762,14917,15295,17053,17328,14859,3256307,78941,21710,18232,18694,20842,21178,18161,2960279,98676,19736,16574,16995,18947,19253,16510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,2672351,118771,17816,14962,15342,17104,17380,14904,3266207,79181,21776,18287,18751,20905,21243,18216,2969279,98976,19796,16625,17047,19005,19311,16560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,2680451,119131,17870,15008,15388,17156,17433,14949,3276107,79421,21842,18343,18808,20969,21307,18271,2978279,99276,19856,16675,17098,19063,19370,16610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,2688551,119491,17924,15053,15435,17208,17486,14994,3286007,79661,21908,18398,18865,21032,21371,18327,2987279,99576,19916,16725,17150,19120,19429,16661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,2696651,119851,17978,15098,15481,17260,17538,15040,3295907,79901,21974,18453,18922,21096,21436,18382,2996279,99876,19976,16776,17202,19178,19487,16711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,2704751,120211,18032,15144,15528,17312,17591,15085,3305807,80141,22040,18509,18979,21159,21500,18437,3005279,100176,20036,16826,17253,19235,19546,16761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,2712851,120571,18086,15189,15574,17364,17644,15130,3315707,80381,22106,18564,19035,21222,21565,18492,3014279,100476,20096,16877,17305,19293,19604,16811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,2720951,120931,18140,15234,15621,17416,17696,15175,3325607,80621,22172,18620,19092,21286,21629,18547,3023279,100776,20156,16927,17357,19351,19663,16861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,2729051,121291,18194,15280,15667,17467,17749,15220,3335507,80861,22238,18675,19149,21349,21693,18603,3032279,101076,20216,16977,17408,19408,19721,16912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,2737151,121651,18248,15325,15714,17519,17802,15266,3345407,81101,22304,18731,19206,21412,21758,18658,3041279,101376,20276,17028,17460,19466,19780,16962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,2745251,122011,18302,15370,15760,17571,17854,15311,3355307,81341,22370,18786,19263,21476,21822,18713,3050279,101676,20336,17078,17512,19523,19838,17012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,2753351,122371,18356,15416,15807,17623,17907,15356,3365207,81581,22436,18841,19320,21539,21886,18768,3059279,101976,20396,17129,17563,19581,19897,17062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,2761451,122731,18410,15461,15853,17675,17960,15401,3375107,81821,22502,18897,19376,21602,21951,18824,3068279,102276,20456,17179,17615,19639,19955,17112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,2769551,123091,18464,15506,15900,17727,18012,15446,3385007,82061,22568,18952,19433,21666,22015,18879,3077279,102576,20516,17229,17667,19696,20014,17162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,2777651,123451,18518,15552,15946,17778,18065,15491,3394907,82301,22634,19008,19490,21729,22080,18934,3086279,102876,20576,17280,17718,19754,20072,17213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,2785751,123811,18572,15597,15993,17830,18118,15537,3404807,82541,22700,19063,19547,21793,22144,18989,3095279,103176,20636,17330,17770,19811,20131,17263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,2793851,124171,18626,15642,16039,17882,18171,15582,3414707,82781,22766,19119,19604,21856,22208,19044,3104279,103476,20696,17380,17822,19869,20189,17313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,2801951,124531,18680,15688,16086,17934,18223,15627,3424607,83021,22832,19174,19661,21919,22273,19100,3113279,103776,20756,17431,17873,19927,20248,17363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,2810051,124891,18734,15733,16132,17986,18276,15672,3434507,83261,22898,19229,19717,21983,22337,19155,3122279,104076,20816,17481,17925,19984,20307,17413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,2950554,131136,19671,16520,16939,18885,19190,16456,3606232,87424,24043,20191,20703,23082,23454,20113,3278393,109280,21857,18355,18821,20984,21322,18284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,2958654,131496,19725,16565,16986,18937,19243,16501,3616132,87664,24109,20246,20760,23145,23519,20168,3287393,109580,21917,18406,18873,21041,21381,18334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,2966754,131856,19779,16611,17032,18989,19295,16546,3626032,87904,24175,20302,20817,23209,23583,20223,3296393,109880,21977,18456,18925,21099,21439,18385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,2974854,132216,19833,16656,17079,19041,19348,16591,3635932,88144,24241,20357,20874,23272,23647,20278,3305393,110180,22037,18507,18976,21156,21498,18435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,2982954,132576,19887,16701,17125,19093,19401,16637,3645832,88384,24307,20413,20931,23335,23712,20334,3314393,110480,22097,18557,19028,21214,21556,18485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,2991054,132936,19941,16747,17172,19144,19453,16682,3655732,88624,24373,20468,20988,23399,23776,20389,3323393,110780,22157,18607,19080,21272,21615,18535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,2999154,133296,19995,16792,17218,19196,19506,16727,3665632,88864,24439,20524,21044,23462,23841,20444,3332393,111080,22217,18658,19131,21329,21673,18585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,3007254,133656,20049,16837,17265,19248,19559,16772,3675532,89104,24505,20579,21101,23525,23905,20499,3341393,111380,22277,18708,19183,21387,21732,18636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,3015354,134016,20103,16883,17311,19300,19611,16817,3685432,89344,24571,20634,21158,23589,23969,20554,3350393,111680,22337,18759,19235,21444,21790,18686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,3023454,134376,20157,16928,17358,19352,19664,16862,3695332,89584,24637,20690,21215,23652,24034,20610,3359393,111980,22397,18809,19286,21502,21849,18736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,3031554,134736,20211,16973,17404,19404,19717,16908,3705232,89824,24703,20745,21272,23716,24098,20665,3368393,112280,22457,18859,19338,21560,21907,18786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,3039654,135096,20265,17019,17451,19455,19769,16953,3715132,90064,24769,20801,21329,23779,24162,20720,3377393,112580,22517,18910,19390,21617,21966,18836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,3047754,135456,20319,17064,17497,19507,19822,16998,3725032,90304,24835,20856,21385,23842,24227,20775,3386393,112880,22577,18960,19441,21675,22024,18887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,3055854,135816,20373,17109,17544,19559,19875,17043,3734932,90544,24901,20912,21442,23906,24291,20830,3395393,113180,22637,19011,19493,21732,22083,18937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,3063954,136176,20427,17155,17590,19611,19927,17088,3744832,90784,24967,20967,21499,23969,24356,20886,3404393,113480,22697,19061,19545,21790,22141,18987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,3072054,136536,20481,17200,17637,19663,19980,17133,3754732,91024,25033,21022,21556,24032,24420,20941,3413393,113780,22757,19111,19596,21848,22200,19037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,3080154,136896,20535,17246,17683,19715,20033,17179,3764632,91264,25099,21078,21613,24096,24484,20996,3422393,114080,22817,19162,19648,21905,22259,19087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,3088254,137256,20589,17291,17730,19767,20085,17224,3774532,91504,25165,21133,21670,24159,24549,21051,3431393,114380,22877,19212,19700,21963,22317,19138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,3096354,137616,20643,17336,17776,19818,20138,17269,3784432,91744,25231,21189,21726,24222,24613,21107,3440393,114680,22937,19262,19751,22020,22376,19188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,3104454,137976,20697,17382,17823,19870,20191,17314,3794332,91984,25297,21244,21783,24286,24678,21162,3449393,114980,22997,19313,19803,22078,22434,19238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,3259677,144875,21732,18251,18714,20864,21200,18180,3984049,96583,26562,22306,22873,25500,25912,22220,3621863,120729,24147,20279,20793,23182,23556,20200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,3268452,145265,21791,18300,18764,20920,21257,18229,3994774,96843,26633,22367,22934,25569,25981,22280,3631613,121054,24212,20333,20849,23244,23619,20254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,3277227,145655,21849,18349,18815,20976,21315,18278,4005499,97103,26705,22427,22996,25638,26051,22340,3641363,121379,24277,20388,20905,23307,23683,20309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,3286002,146045,21908,18398,18865,21032,21372,18327,4016224,97363,26776,22487,23057,25706,26121,22399,3651113,121704,24342,20442,20961,23369,23746,20363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,3294777,146435,21966,18447,18915,21089,21429,18376,4026949,97623,26848,22547,23119,25775,26191,22459,3660863,122029,24407,20497,21017,23432,23810,20417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,3303552,146825,22025,18496,18966,21145,21486,18425,4037674,97883,26919,22607,23180,25844,26260,22519,3670613,122354,24472,20552,21073,23494,23873,20472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,3312327,147215,22083,18546,19016,21201,21543,18474,4048399,98143,26991,22667,23242,25912,26330,22579,3680363,122679,24537,20606,21129,23557,23936,20526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,3321102,147605,22142,18595,19067,21257,21600,18523,4059124,98403,27062,22727,23304,25981,26400,22639,3690113,123004,24602,20661,21185,23619,24000,20581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,3329877,147995,22200,18644,19117,21313,21657,18571,4069849,98663,27134,22787,23365,26049,26470,22698,3699863,123329,24667,20715,21241,23681,24063,20635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,3338652,148385,22259,18693,19167,21369,21714,18620,4080574,98923,27205,22847,23427,26118,26539,22758,3709613,123654,24732,20770,21297,23744,24127,20689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,3347427,148775,22317,18742,19218,21425,21771,18669,4091299,99183,27277,22907,23488,26187,26609,22818,3719363,123979,24797,20825,21353,23806,24190,20744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,3356202,149165,22376,18791,19268,21482,21828,18718,4102024,99443,27348,22967,23550,26255,26679,22878,3729113,124304,24862,20879,21409,23869,24253,20798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,3364977,149555,22434,18840,19318,21538,21885,18767,4112749,99703,27420,23027,23611,26324,26749,22938,3738863,124629,24927,20934,21465,23931,24317,20852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,3373752,149945,22493,18889,19369,21594,21942,18816,4123474,99963,27491,23087,23673,26393,26818,22998,3748613,124954,24992,20988,21521,23993,24380,20907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,3382527,150335,22551,18939,19419,21650,21999,18865,4134199,100223,27563,23147,23735,26461,26888,23057,3758363,125279,25057,21043,21577,24056,24444,20961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,3391302,150725,22610,18988,19470,21706,22056,18914,4144924,100483,27634,23207,23796,26530,26958,23117,3768113,125604,25122,21097,21633,24118,24507,21016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,3400077,151115,22668,19037,19520,21762,22113,18963,4155649,100743,27706,23267,23858,26599,27028,23177,3777863,125929,25187,21152,21689,24181,24571,21070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,3408852,151505,22727,19086,19570,21819,22171,19012,4166374,101003,27777,23327,23919,26667,27097,23237,3787613,126254,25252,21207,21745,24243,24634,21124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,3417627,151895,22785,19135,19621,21875,22228,19061,4177099,101263,27849,23387,23981,26736,27167,23297,3797363,126579,25317,21261,21801,24305,24697,21179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,3426402,152285,22844,19184,19671,21931,22285,19110,4187824,101523,27920,23447,24042,26805,27237,23356,3807113,126904,25382,21316,21857,24368,24761,21233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,3597722,159899,23986,20143,20655,23027,23399,20065,4397216,106599,29316,24620,25244,28145,28599,24524,3997469,133249,26651,22381,22949,25586,25999,22295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,3606497,160289,24044,20192,20705,23084,23456,20114,4407941,106859,29388,24680,25306,28213,28668,24584,4007219,133574,26716,22436,23005,25648,26062,22349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,3615272,160679,24103,20242,20755,23140,23513,20163,4418666,107119,29459,24740,25368,28282,28738,24644,4016969,133899,26781,22491,23061,25711,26126,22403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,3624047,161069,24161,20291,20806,23196,23570,20212,4429391,107379,29531,24800,25429,28351,28808,24704,4026719,134224,26846,22545,23117,25773,26189,22458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,3632822,161459,24220,20340,20856,23252,23627,20261,4440116,107639,29602,24860,25491,28419,28878,24763,4036469,134549,26911,22600,23173,25836,26252,22512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,3641597,161849,24278,20389,20906,23308,23684,20310,4450841,107899,29674,24920,25552,28488,28947,24823,4046219,134874,26976,22654,23229,25898,26316,22567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,3650372,162239,24337,20438,20957,23364,23741,20359,4461566,108159,29745,24980,25614,28556,29017,24883,4055969,135199,27041,22709,23285,25960,26379,22621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,3659147,162629,24395,20487,21007,23421,23798,20408,4472291,108419,29817,25040,25675,28625,29087,24943,4065719,135524,27106,22764,23341,26023,26443,22675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,3667922,163019,24454,20536,21058,23477,23855,20457,4483016,108679,29888,25100,25737,28694,29157,25003,4075469,135849,27171,22818,23397,26085,26506,22730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,3676697,163409,24512,20585,21108,23533,23912,20506,4493741,108939,29960,25160,25799,28762,29226,25062,4085219,136174,27236,22873,23453,26148,26569,22784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,3685472,163799,24571,20635,21158,23589,23970,20555,4504466,109199,30031,25220,25860,28831,29296,25122,4094969,136499,27301,22927,23509,26210,26633,22838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,3694247,164189,24629,20684,21209,23645,24027,20604,4515191,109459,30103,25280,25922,28900,29366,25182,4104719,136824,27366,22982,23565,26272,26696,22893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,3703022,164579,24688,20733,21259,23701,24084,20652,4525916,109719,30174,25340,25983,28968,29436,25242,4114469,137149,27431,23037,23621,26335,26760,22947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,3711797,164969,24746,20782,21309,23758,24141,20701,4536641,109979,30246,25400,26045,29037,29505,25302,4124219,137474,27496,23091,23677,26397,26823,23002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,3720572,165359,24805,20831,21360,23814,24198,20750,4547366,110239,30317,25460,26106,29106,29575,25362,4133969,137799,27561,23146,23733,26460,26886,23056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,3729347,165749,24863,20880,21410,23870,24255,20799,4558091,110499,30389,25520,26168,29174,29645,25421,4143719,138124,27626,23200,23789,26522,26950,23110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,3738122,166139,24922,20929,21461,23926,24312,20848,4568816,110759,30460,25580,26230,29243,29715,25481,4153469,138449,27691,23255,23845,26584,27013,23165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,3746897,166529,24980,20979,21511,23982,24369,20897,4579541,111019,30532,25640,26291,29312,29784,25541,4163219,138774,27756,23309,23901,26647,27077,23219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,3755672,166919,25039,21028,21561,24038,24426,20946,4590266,111279,30603,25700,26353,29380,29854,25601,4172969,139099,27821,23364,23957,26709,27140,23273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,3764447,167309,25097,21077,21612,24095,24483,20995,4600991,111539,30675,25761,26414,29449,29924,25661,4182719,139424,27886,23419,24013,26772,27203,23328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,3952670,175674,26352,22130,22692,25299,25707,22045,4831041,117116,32208,27048,27735,30921,31420,26943,4391855,146395,29280,24589,25213,28110,28563,24494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,3962120,176094,26415,22183,22746,25359,25768,22097,4842591,117396,32285,27113,27801,30995,31495,27008,4402355,146745,29350,24648,25274,28177,28632,24552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,3971570,176514,26478,22236,22801,25420,25830,22150,4854141,117676,32362,27178,27867,31069,31570,27072,4412855,147095,29420,24707,25334,28244,28700,24611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,3981020,176934,26541,22289,22855,25480,25891,22203,4865691,117956,32439,27242,27934,31143,31645,27137,4423355,147445,29490,24766,25394,28312,28768,24670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,3990470,177354,26604,22342,22909,25541,25953,22255,4877241,118236,32516,27307,28000,31217,31720,27201,4433855,147795,29560,24824,25454,28379,28837,24728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,3999920,177774,26667,22395,22963,25601,26014,22308,4888791,118516,32593,27372,28066,31291,31795,27265,4444355,148145,29630,24883,25515,28446,28905,24787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
